time.time(), c1pp, c2pp
1727776752.1344504, 7.824E+00, 1.995E+01
1727776752.243442, 7.815E+00, 1.987E+01
1727776752.3523986, 7.819E+00, 1.990E+01
1727776752.460993, 7.829E+00, 1.995E+01
1727776752.568362, 7.829E+00, 1.986E+01
1727776752.678524, 7.815E+00, 1.987E+01
1727776752.7858312, 7.824E+00, 1.996E+01
1727776752.892694, 7.829E+00, 1.994E+01
1727776753.0042112, 7.828E+00, 1.994E+01
1727776753.113821, 7.829E+00, 1.991E+01
1727776753.2246082, 7.824E+00, 1.996E+01
1727776753.3320315, 7.815E+00, 1.997E+01
1727776753.4410148, 7.810E+00, 1.996E+01
1727776753.5493207, 7.815E+00, 1.993E+01
1727776753.6566868, 7.824E+00, 1.985E+01
1727776753.765203, 7.824E+00, 1.993E+01
1727776753.8739464, 7.819E+00, 1.997E+01
1727776753.982518, 7.824E+00, 1.993E+01
1727776754.0896513, 7.802E+00, 1.997E+01
1727776754.1975083, 7.819E+00, 1.989E+01
1727776754.3051395, 7.824E+00, 1.994E+01
1727776754.412412, 7.842E+00, 1.994E+01
1727776754.5258963, 7.828E+00, 1.990E+01
1727776754.633296, 7.851E+00, 1.987E+01
1727776754.7407024, 7.819E+00, 1.999E+01
1727776754.8483682, 7.819E+00, 1.986E+01
1727776754.9577677, 7.815E+00, 1.997E+01
1727776755.0660465, 7.811E+00, 1.998E+01
1727776755.1765966, 7.815E+00, 1.989E+01
1727776755.2847714, 7.815E+00, 1.989E+01
1727776755.396468, 7.824E+00, 1.997E+01
1727776755.505627, 7.815E+00, 1.998E+01
1727776755.6139956, 7.828E+00, 1.990E+01
1727776755.7205656, 7.811E+00, 1.993E+01
1727776755.829657, 7.815E+00, 1.997E+01
1727776755.9376395, 7.810E+00, 1.984E+01
1727776756.0465963, 7.819E+00, 1.986E+01
1727776756.155058, 7.824E+00, 1.996E+01
1727776756.2620413, 7.819E+00, 1.993E+01
1727776756.3694596, 7.819E+00, 1.991E+01
1727776756.4781609, 7.810E+00, 1.989E+01
1727776756.5873954, 7.819E+00, 1.993E+01
1727776756.6987588, 7.819E+00, 1.998E+01
1727776756.8072052, 7.833E+00, 1.995E+01
1727776756.916104, 7.811E+00, 1.996E+01
1727776757.0258586, 7.829E+00, 1.991E+01
1727776757.133879, 7.802E+00, 1.996E+01
1727776757.2427876, 7.824E+00, 1.995E+01
1727776757.349946, 7.824E+00, 1.990E+01
1727776757.459192, 7.824E+00, 1.990E+01
1727776757.5681045, 7.837E+00, 1.998E+01
1727776757.6775374, 7.802E+00, 1.994E+01
1727776757.7865133, 7.824E+00, 1.984E+01
1727776757.893482, 7.837E+00, 1.988E+01
1727776758.0011842, 7.819E+00, 1.996E+01
1727776758.110699, 7.846E+00, 1.991E+01
1727776758.2223704, 7.797E+00, 1.996E+01
1727776758.3328445, 7.833E+00, 1.989E+01
1727776758.441017, 7.829E+00, 1.987E+01
1727776758.5507634, 7.824E+00, 1.990E+01
1727776758.6602783, 7.824E+00, 1.990E+01
1727776758.7679121, 7.802E+00, 1.999E+01
1727776758.8767166, 7.819E+00, 1.990E+01
1727776758.983752, 7.829E+00, 1.986E+01
1727776759.0914443, 7.829E+00, 1.991E+01
1727776759.2006476, 7.815E+00, 1.996E+01
1727776759.3101258, 7.829E+00, 1.993E+01
1727776759.4194305, 7.842E+00, 1.991E+01
1727776759.535893, 7.815E+00, 2.000E+01
1727776759.6484814, 7.824E+00, 1.994E+01
1727776759.7575817, 7.833E+00, 1.987E+01
1727776759.8659604, 7.824E+00, 1.991E+01
1727776759.973053, 7.819E+00, 1.998E+01
1727776760.0819602, 7.819E+00, 1.998E+01
1727776760.1907544, 7.829E+00, 1.985E+01
1727776760.299793, 7.837E+00, 1.989E+01
1727776760.4067621, 7.806E+00, 1.991E+01
1727776760.5162702, 7.810E+00, 1.994E+01
1727776760.630966, 7.811E+00, 1.990E+01
1727776760.7383652, 7.815E+00, 1.997E+01
1727776760.846841, 7.846E+00, 1.995E+01
1727776760.9534953, 7.811E+00, 1.988E+01
1727776761.0635622, 7.824E+00, 1.985E+01
1727776761.1720257, 7.815E+00, 1.998E+01
1727776761.2835104, 7.815E+00, 1.988E+01
1727776761.3939118, 7.819E+00, 1.994E+01
1727776761.5047047, 7.819E+00, 1.990E+01
1727776761.6146255, 7.819E+00, 1.988E+01
1727776761.722951, 7.819E+00, 1.993E+01
1727776761.8329976, 7.806E+00, 1.995E+01
1727776761.941665, 7.819E+00, 1.995E+01
1727776762.0518854, 7.815E+00, 1.997E+01
1727776762.1595361, 7.824E+00, 1.995E+01
1727776762.2685199, 7.828E+00, 1.988E+01
1727776762.3760695, 7.824E+00, 1.994E+01
1727776762.4857438, 7.819E+00, 1.991E+01
1727776762.5976982, 7.815E+00, 1.993E+01
1727776762.7043808, 7.811E+00, 1.990E+01
1727776762.8111765, 7.815E+00, 1.991E+01
1727776762.9202514, 7.815E+00, 1.998E+01
1727776763.030006, 7.819E+00, 1.993E+01
1727776763.1389108, 7.819E+00, 1.988E+01
1727776763.2546597, 7.806E+00, 1.986E+01
1727776763.363598, 7.815E+00, 1.995E+01
1727776763.472437, 7.824E+00, 1.988E+01
1727776763.582011, 7.846E+00, 1.990E+01
